Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 0, trainig accuracy 0.1
step 1, trainig accuracy 0.12
step 2, trainig accuracy 0.26
step 3, trainig accuracy 0.18
step 8, trainig accuracy 0.22
step 9, trainig accuracy 0.3
step 10, trainig accuracy 0.16
step 11, trainig accuracy 0.18
step 16, trainig accuracy 0.14
step 17, trainig accuracy 0.22
step 18, trainig accuracy 0.28
step 19, trainig accuracy 0.38
step 24, trainig accuracy 0.54
step 25, trainig accuracy 0.42
step 26, trainig accuracy 0.48
step 27, trainig accuracy 0.52
step 128, trainig accuracy 0.92
step 129, trainig accuracy 0.9
step 130, trainig accuracy 0.86
step 131, trainig accuracy 0.74
step 136, trainig accuracy 0.86
step 137, trainig accuracy 0.88
step 138, trainig accuracy 0.96
step 139, trainig accuracy 0.9
step 144, trainig accuracy 0.82
step 145, trainig accuracy 0.82
step 146, trainig accuracy 0.92
step 147, trainig accuracy 0.86
step 152, trainig accuracy 0.84
step 153, trainig accuracy 0.8
step 154, trainig accuracy 0.94
step 155, trainig accuracy 0.8
step 256, trainig accuracy 0.84
step 257, trainig accuracy 0.96
step 258, trainig accuracy 0.9
step 259, trainig accuracy 0.96
step 264, trainig accuracy 0.94
step 265, trainig accuracy 0.96
step 266, trainig accuracy 0.94
step 267, trainig accuracy 0.94
step 272, trainig accuracy 0.94
step 273, trainig accuracy 0.92
step 274, trainig accuracy 0.88
step 275, trainig accuracy 0.96
step 280, trainig accuracy 0.94
step 281, trainig accuracy 0.9
step 282, trainig accuracy 0.94
step 283, trainig accuracy 0.9
step 384, trainig accuracy 0.94
step 385, trainig accuracy 0.82
step 386, trainig accuracy 0.96
step 387, trainig accuracy 0.94
step 392, trainig accuracy 0.88
step 393, trainig accuracy 0.88
step 394, trainig accuracy 0.86
step 395, trainig accuracy 0.92
step 400, trainig accuracy 0.98
step 401, trainig accuracy 0.92
step 402, trainig accuracy 0.98
step 403, trainig accuracy 0.94
step 408, trainig accuracy 0.98
step 409, trainig accuracy 0.92
step 410, trainig accuracy 0.94
step 411, trainig accuracy 0.94
step 512, trainig accuracy 0.88
step 513, trainig accuracy 0.9
step 514, trainig accuracy 0.96
step 515, trainig accuracy 0.98
step 520, trainig accuracy 0.9
step 521, trainig accuracy 0.96
step 522, trainig accuracy 0.94
step 523, trainig accuracy 0.9
step 528, trainig accuracy 0.9
step 529, trainig accuracy 0.94
step 530, trainig accuracy 0.94
step 531, trainig accuracy 0.96
step 536, trainig accuracy 1
step 537, trainig accuracy 0.94
step 538, trainig accuracy 0.96
step 539, trainig accuracy 0.94
step 640, trainig accuracy 0.9
step 641, trainig accuracy 0.9
step 642, trainig accuracy 0.9
step 643, trainig accuracy 0.96
step 648, trainig accuracy 0.96
step 649, trainig accuracy 0.9
step 650, trainig accuracy 0.88
step 651, trainig accuracy 0.96
step 656, trainig accuracy 0.9
step 657, trainig accuracy 1
step 658, trainig accuracy 0.94
step 659, trainig accuracy 0.98
step 664, trainig accuracy 0.94
step 665, trainig accuracy 0.92
step 666, trainig accuracy 0.94
step 667, trainig accuracy 0.9
step 768, trainig accuracy 0.98
step 769, trainig accuracy 0.94
step 770, trainig accuracy 0.98
step 771, trainig accuracy 0.98
step 776, trainig accuracy 0.96
step 777, trainig accuracy 0.96
step 778, trainig accuracy 0.98
step 779, trainig accuracy 0.94
step 784, trainig accuracy 0.9
step 785, trainig accuracy 0.92
step 786, trainig accuracy 0.94
step 787, trainig accuracy 0.94
step 792, trainig accuracy 1
step 793, trainig accuracy 0.98
step 794, trainig accuracy 0.98
step 795, trainig accuracy 0.94
step 896, trainig accuracy 0.94
step 897, trainig accuracy 0.86
step 898, trainig accuracy 0.96
step 899, trainig accuracy 0.96
step 904, trainig accuracy 0.9
step 905, trainig accuracy 0.98
step 906, trainig accuracy 0.9
step 907, trainig accuracy 0.88
step 912, trainig accuracy 0.94
step 913, trainig accuracy 0.96
step 914, trainig accuracy 0.96
step 915, trainig accuracy 0.98
step 920, trainig accuracy 0.98
step 921, trainig accuracy 1
step 922, trainig accuracy 0.98
step 923, trainig accuracy 0.92
step 1024, trainig accuracy 0.94
step 1025, trainig accuracy 0.94
step 1026, trainig accuracy 1
step 1027, trainig accuracy 0.98
step 1032, trainig accuracy 0.96
step 1033, trainig accuracy 0.94
step 1034, trainig accuracy 1
step 1035, trainig accuracy 0.98
step 1040, trainig accuracy 0.94
step 1041, trainig accuracy 0.96
step 1042, trainig accuracy 0.98
step 1043, trainig accuracy 1
step 1048, trainig accuracy 0.98
step 1049, trainig accuracy 0.94
step 1050, trainig accuracy 0.92
step 1051, trainig accuracy 0.96
step 1152, trainig accuracy 0.98
step 1153, trainig accuracy 0.98
step 1154, trainig accuracy 0.96
step 1155, trainig accuracy 0.96
step 1160, trainig accuracy 0.92
step 1161, trainig accuracy 0.98
step 1162, trainig accuracy 1
step 1163, trainig accuracy 1
step 1168, trainig accuracy 0.96
step 1169, trainig accuracy 0.98
step 1170, trainig accuracy 1
step 1171, trainig accuracy 1
step 1176, trainig accuracy 0.98
step 1177, trainig accuracy 1
step 1178, trainig accuracy 0.98
step 1179, trainig accuracy 0.94
step 1280, trainig accuracy 0.98
step 1281, trainig accuracy 0.96
step 1282, trainig accuracy 1
step 1283, trainig accuracy 0.96
step 1288, trainig accuracy 0.98
step 1289, trainig accuracy 0.92
step 1290, trainig accuracy 1
step 1291, trainig accuracy 0.94
step 1296, trainig accuracy 0.96
step 1297, trainig accuracy 0.96
step 1298, trainig accuracy 0.98
step 1299, trainig accuracy 0.98
step 1304, trainig accuracy 0.96
step 1305, trainig accuracy 0.98
step 1306, trainig accuracy 0.98
step 1307, trainig accuracy 0.94
step 1408, trainig accuracy 0.98
step 1409, trainig accuracy 1
step 1410, trainig accuracy 0.98
step 1411, trainig accuracy 1
step 1416, trainig accuracy 0.98
step 1417, trainig accuracy 0.96
step 1418, trainig accuracy 0.98
step 1419, trainig accuracy 1
step 1424, trainig accuracy 0.96
step 1425, trainig accuracy 0.94
step 1426, trainig accuracy 0.96
step 1427, trainig accuracy 0.96
step 1432, trainig accuracy 1
step 1433, trainig accuracy 0.98
step 1434, trainig accuracy 1
step 1435, trainig accuracy 1
step 1536, trainig accuracy 0.98
step 1537, trainig accuracy 0.96
step 1538, trainig accuracy 0.98
step 1539, trainig accuracy 0.98
step 1544, trainig accuracy 1
step 1545, trainig accuracy 0.94
step 1546, trainig accuracy 1
step 1547, trainig accuracy 1
step 1552, trainig accuracy 0.96
step 1553, trainig accuracy 1
step 1554, trainig accuracy 0.98
step 1555, trainig accuracy 0.98
